feature,importance_mean,importance_std
tenure_months,0.12787362112170303,0.003909096023278035
internet_service,0.10137874912810974,0.010391496329266076
contract,0.04073303366142249,0.004130626513852929
dependents,0.03619365005554268,0.005730651771683539
avg_monthly_spend,0.01225089772404354,0.0032744733815932166
monthly_charges,0.012173396367769828,0.003235399152398426
num_addon_services,0.006777751943992405,0.001970200802993012
tenure_bucket,0.0044540029450515824,0.0015596014591977077
online_security,0.0032620320855615615,0.001350370563526777
tech_support,0.0031260172053011793,0.0018021774853275087
payment_method,0.0026037872329432443,0.0014324412145301218
multiple_lines,0.0025137564907386613,0.0013601165958582158
paperless_billing,0.0018348446097807614,0.00111261067063926
total_charges,0.001355757059081919,0.001153835190164613
partner,0.0012791598852980534,0.0013207324211440474
online_backup,0.001056601823865333,0.00039598609105242496
streaming_movies,0.0006213025394611327,0.001164847647898104
device_protection,0.000552455501304705,0.00022884494682594872
streaming_tv,0.0005211966209409446,0.001312045958682677
senior_citizen,0.00022940401457032243,9.522509923171769e-05
phone_service,4.559663127448044e-05,6.874178074460297e-05
gender,-0.00014970678653534187,7.431525176899913e-05
charge_growth,-0.00017515306517852381,0.0003278281923289275
